STRUCTURE_NUMBER_008,LOCATION_009,"coordinates (lat, lon)",_year_built,_super_cond,N_i,lambda_i,p_truck,s_elem,V_elem,V_age,s_des,V_des,Risk_truck,Risk_Rank,Risk_Level,Risk_Explanation,Street_View_URL
180570F88650002,'0.65 MI W OF BELT LINE RD',"32.798306, -97.006011",1991,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.798306,-97.006011"
180570F88952001,'0.05 MI E  OF NW 9TH ST',"32.755067, -97.014578",2006,7,0,0,0,1,0.666666667,1,0,0.333333333,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.755067,-97.014578"
180570F99010004,'0.30 MI N OF CARRIER PKWY',"32.787842, -97.031475",1979,6,0,0,0,2,1,1.314285714,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.787842,-97.031475"
180570F99010005,'0.30 MI N OF CARRIER PKWY',"32.788225, -97.031486",1972,7,0,0,0,1,0.666666667,1.514285714,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.788225,-97.031486"
180570F99998001,'1.0 MI E OF LK RIDGE PK',"32.633647, -97.030547",1987,,0,0,0,2,1,1.085714286,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.633647,-97.030547"
180570G00020003,'0.4 Mi SW of Midway Rd',"32.930472, -96.844408",1978,,0,0,0,2,1,1.342857143,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.930472,-96.844408"
180570G00070001,'0.4 MI S OF VALWOOD PKWY',"32.934119, -96.897111",1956,,0,0,0,2,1,1.971428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.934119,-96.897111"
180570G00130001,'0.2 Mi N of SH 78',"32.979986, -96.596381",2010,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.979986,-96.596381"
180570G00175002,'0.2 Mi E of Webb Chapel',"32.937806, -96.870094",1966,,0,0,0,2,1,1.685714286,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.937806,-96.870094"
180570G00267001,'@ JCT WITH FORD RD',"32.914611, -96.891086",1976,,0,0,0,2,1,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.914611,-96.891086"
180570G00650007,'0.1 MI N OF VALWOOD PKWY',"32.939556, -96.890531",2004,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.939556,-96.890531"
180570G00365002,'0.6 MI S OF VALLEY VIEW',"32.918511, -96.895375",1974,7,0,0,0,1,0.666666667,1.457142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.918511,-96.895375"
180570G00365003,'0.5 MI S OF VALLEY VIEW',"32.918397, -96.895425",2010,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.918397,-96.895425"
180570G00373001,'AT JCT WITH SENLAC DR',"32.928442, -96.909528",1983,,0,0,0,2,1,1.2,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.928442,-96.909528"
180570G00440001,'0.1 MI E OF IH 35 E',"32.917822, -96.896267",1969,7,0,0,0,1,0.666666667,1.6,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.917822,-96.896267"
180570G00450001,'0.1 MI S OF FARMER BR LN',"32.916017, -96.891469",1976,7,0,0,0,1,0.666666667,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.916017,-96.891469"
180570G00450002,'0.1 MI S OF FARMER BR LN',"32.915989, -96.891469",1976,7,0,0,0,1,0.666666667,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.915989,-96.891469"
180570G00470001,'0.3 MI E OF JOSEY LN',"32.946347, -96.883956",1990,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.946347,-96.883956"
180570G00480001,'0.1 MI E OF VENTURE DRIVE',"32.949828, -96.859025",1972,,0,0,0,2,1,1.514285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.949828,-96.859025"
180570G00605001,'0.3 MI E OF JOSEY LN',"32.943189, -96.884894",1967,,0,0,0,2,1,1.657142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.943189,-96.884894"
180570G00607001,'1.9 MI S OF BELT LINE',"32.925117, -96.91375",1982,7,0,0,0,1,0.666666667,1.228571429,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.925117,-96.913750"
180570G00610006,'150 Ft S of Spring Valley',"32.939219, -96.825361",1986,,0,0,0,2,1,1.114285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.939219,-96.825361"
180570G00650005,'0.2 MI N OF IH 635',"32.915622, -96.881761",1983,6,0,0,0,2,1,1.2,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.915622,-96.881761"
180570G00650006,'0.2 MI N OF IH 635',"32.915619, -96.881761",1983,6,0,0,0,2,1,1.2,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.915619,-96.881761"
180570G00365001,'0.5 MI S OF VALWOOD PKWY',"32.931833, -96.899606",2000,7,0,0,0,1,0.666666667,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.931833,-96.899606"
180570H00225073,'1.4 MI W OF IH 35E',"32.951492, -96.930192",1990,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.951492,-96.930192"
180570H00225076,'1.1 MI W OF IH 35E',"32.951986, -96.923703",1990,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.951986,-96.923703"
180570H00375131,'0.2 MI N OF BELT LINE RD',"32.956878, -96.910297",1952,6,0,0,0,2,1,2.085714286,0,0.333333333,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.956878,-96.910297"
180570H00470001,'0.10 MI E OF HEADS LANE',"32.973864, -96.87125",1995,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.973864,-96.871250"
180570H00528001,'0.01 MI S OF CARMEL DR',"32.973564, -96.870586",1995,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.973564,-96.870586"
180570H00725001,'0.5 MI W OF MARSH LN',"32.961511, -96.861083",2000,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.961511,-96.861083"
180570H00825001,'0.1 MI W OF IH 35E',"32.94655, -96.907108",1962,,0,0,0,2,1,1.8,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.946550,-96.907108"
180570H00880001,'0.2 MI N OF BELT LINE RD',"32.957103, -96.907458",1954,6,0,0,0,2,1,2.028571429,0,0.333333333,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.957103,-96.907458"
180570H00897001,'0.2 MI N OF TRINITY MILLS',"32.986225, -96.920261",2011,7,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.986225,-96.920261"
180570H00897002,'0.2 MI N OF TRINITY MILLS',"32.986231, -96.920297",2009,7,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.986231,-96.920297"
180570H01505001,'0.17 MI N OF VALWOOD PKWY',"32.941531, -96.916717",1988,7,0,0,0,1,0.666666667,1.057142857,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.941531,-96.916717"
180570H01570004,'0.1 MI S OF KELLER SPRING',"32.96855, -96.890089",1930,,0,0,0,2,1,2.714285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968550,-96.890089"
180570G01155011,'O.15 MI N OF LBJ FRWY',"32.914617, -96.936503",1984,6,0,0,0,2,1,1.171428571,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.914617,-96.936503"
180570H01590002,'0.25 MI E OF JOSEY LN',"32.971483, -96.88635",1985,,0,0,0,2,1,1.142857143,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.971483,-96.886350"
180570H01590005,'0.7 MI E OF OLD DENTON RD',"32.968347, -96.899683",1986,,0,0,0,2,1,1.114285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968347,-96.899683"
180570H01590006,'0.2 MI W OF MIDWAY RD',"32.969, -96.847139",1976,,0,0,0,2,1,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.969000,-96.847139"
180570H01590007,'0.1 MI E OF MARSH LN',"32.971139, -96.852989",1998,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.971139,-96.852989"
180570H01595001,'0.1 MI S OF TRINITY MILLS',"32.982589, -96.869458",1976,,0,0,0,2,1,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.982589,-96.869458"
180570H01595002,'0.18 MI S KELLER SPRINGS',"32.968392, -96.877894",1976,,0,0,0,2,1,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968392,-96.877894"
180570H01595003,'0.25 MI S KELLER SPRINGS',"32.967392, -96.877939",1976,,0,0,0,2,1,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.967392,-96.877939"
180570H01757003,'0.45 MI N OF VALLEY VIEW',"32.924147, -96.925214",1982,7,0,0,0,1,0.666666667,1.228571429,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.924147,-96.925214"
180570H01757004,'0.45 MI N OF VALLEY VIEW',"32.923856, -96.925211",1982,6,0,0,0,2,1,1.228571429,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.923856,-96.925211"
180570H01757006,'0.3 MI S OF BELT LINE RD',"32.938317, -96.925119",1982,7,0,0,0,1,0.666666667,1.228571429,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.938317,-96.925119"
180570H01757010,'0.3 MI S OF BELT LINE RD',"32.947508, -96.925078",1986,7,0,0,0,1,0.666666667,1.114285714,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.947508,-96.925078"
180570H01757011,'0.1 MI N OF VALWOOD PKWY',"32.938281, -96.925119",1982,,0,0,0,2,1,1.228571429,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.938281,-96.925119"
180570H01590001,'1.1 MI E OF JOSEY LN',"32.971164, -96.872642",1990,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.971164,-96.872642"
180570G01170001,'0.1 MI W OF JOSEY LANE',"32.938478, -96.891919",1986,7,0,0,0,1,0.666666667,1.114285714,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.938478,-96.891919"
180570G01185001,'0.3 MI W OF WEBB CHAPEL',"32.917464, -96.877969",1991,7,0,0,0,1,0.666666667,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.917464,-96.877969"
180570G01215005,'0.4 MI N OF IH 635',"32.918283, -96.873172",1970,7,0,0,0,1,0.666666667,1.571428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.918283,-96.873172"
180570G01215006,'0.4 MI N OF IH 635',"32.918236, -96.873172",1970,7,0,0,0,1,0.666666667,1.571428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.918236,-96.873172"
180570G01215007,'0.2 MI N OF IH 635',"32.915136, -96.873214",1970,,0,0,0,2,1,1.571428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.915136,-96.873214"
180570G01215010,'0.5 Mi S of Valwood Pkwy',"32.934292, -96.873156",1963,,0,0,0,2,1,1.771428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.934292,-96.873156"
180570G01220001,'0.1 MI S OF SPRING VALLEY',"32.93795, -96.830483",1996,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.937950,-96.830483"
180570GG0155002,'0.5 MI E OF MILES RD',"32.973981, -96.575086",2004,7,0,0,0,1,0.666666667,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.973981,-96.575086"
180570GG0155003,'0.50 MI SW OF COLLIN C/L',"32.977625, -96.556922",1993,7,0,0,0,1,0.666666667,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.977625,-96.556922"
180570GG0210001,'0.39 MI NW OF MILES RD',"32.954342, -96.589547",2012,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.954342,-96.589547"
180570GG0210002,'0.44 MI E OF MILES RD',"32.958361, -96.575606",2014,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.958361,-96.575606"
180570GG0210003,'0.01 MI NE OF BUNKER HILL',"32.958153, -96.593636",2013,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.958153,-96.593636"
180570H00225072,'1.4 MI W OF IH 35E',"32.951492, -96.930175",1990,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.951492,-96.930175"
180570GG0215001,'0.20 MI SW OF ELM GROVE',"32.968339, -96.551081",1952,6,0,0,0,2,1,2.085714286,0,0.333333333,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968339,-96.551081"
180570GG0215002,'1.65 MI SW OF COLLIN C/L',"32.966617, -96.553214",1965,7,0,0,0,1,0.666666667,1.714285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.966617,-96.553214"
180570GG0215003,'0.34 MI NE OF EAST VIEW',"32.958906, -96.56135",1956,6,0,0,0,2,1,1.971428571,0,0.333333333,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.958906,-96.561350"
180570GG0215004,'0.13 MI N OF HUDSON DR',"32.959236, -96.574481",2014,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.959236,-96.574481"
180570GG0215005,'0.45 MI S OF SACHSE RD',"32.966692, -96.583378",2000,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.966692,-96.583378"
180570GG0220005,'0.7 MI S OF SACHSE RD',"32.963125, -96.570497",1950,,0,0,0,2,1,2.142857143,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.963125,-96.570497"
180570GG0220006,'0.1 MI S OF SACHSE RD',"32.972347, -96.570383",1950,,0,0,0,2,1,2.142857143,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.972347,-96.570383"
180570GG0220007,'0.20 MI N OF ROSEWOOD LN',"32.967103, -96.575764",2013,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.967103,-96.575764"
180570H00164001,'0.04 MI E OF MARSH LN',"32.968997, -96.852792",1995,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968997,-96.852792"
180570H00225068,'0.4 MI W OF IH 35E',"32.95235, -96.917278",1990,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.952350,-96.917278"
180570H00225069,'0.4 MI W OF IH 35E',"32.95235, -96.917306",1990,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.952350,-96.917306"
180570H00225070,'1.7 MI W OF IH 35E',"32.951447, -96.938486",1990,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.951447,-96.938486"
180570H00225071,'1.7 MI W OF IH 35E',"32.951506, -96.929947",1990,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.951506,-96.929947"
180570GG0210004,'0.25 MI SE OF WRANGLER L',"32.960306, -96.595253",2013,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.960306,-96.595253"
180570E02240001,'0.02 MI W OF WATERVIEW PK',"32.981181, -96.756772",1984,,0,0,0,2,1,1.171428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.981181,-96.756772"
180570E02295003,'0.15 Mi E of US 75',"32.946156, -96.734567",2014,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.946156,-96.734567"
180570E02340002,'0.25 MI N OF BELT LINE RD',"32.948817, -96.699817",1972,,0,0,0,2,1,1.514285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.948817,-96.699817"
180570E02340003,'0.1 Mi S of Arapaho Rd',"32.959469, -96.699864",1974,,0,0,0,2,1,1.457142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.959469,-96.699864"
180570E02420001,'0.04 Mi W of Nantucket Dr',"32.968239, -96.741367",1986,,0,0,0,2,1,1.114285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968239,-96.741367"
180570E02455001,'0.03 Mi W of Dublin Drive',"32.945108, -96.763883",1975,,0,0,0,2,1,1.428571429,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.945108,-96.763883"
180570E02510001,'0.45 MI N OF BELTLINE RD',"32.957644, -96.755933",1967,7,0,0,0,1,0.666666667,1.657142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.957644,-96.755933"
180570E02510002,'0.45 MI N OF BELTLINE RD',"32.957672, -96.755933",1967,7,0,0,0,1,0.666666667,1.657142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.957672,-96.755933"
180570E02515001,'0.10 MI N OF CAMPBELL RD',"32.979914, -96.756236",1970,,0,0,0,2,1,1.571428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.979914,-96.756236"
180570E02650001,'0.25 MI N OF BELT LINE RD',"32.949047, -96.6956",1970,,0,0,0,2,1,1.571428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.949047,-96.695600"
180570E02675001,'0.45 MI E OF WATERVIEW DR',"32.965197, -96.748042",2017,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.965197,-96.748042"
180570E02735002,'0.04 MI N OF APOLLO RD',"32.953731, -96.691258",1973,6,0,0,0,2,1,1.485714286,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.953731,-96.691258"
180570F78682019,'0.9 MI W OF BELT LINE RD',"32.804447, -97.009944",1990,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.804447,-97.009944"
180570E02735004,'0.04 MI N of Apollo Rd',"32.953769, -96.691331",2018,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.953769,-96.691331"
180570E02905001,'0.15 Mi W of Greenville',"32.940081, -96.735361",2010,7,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.940081,-96.735361"
180570E02905002,'0.35 Mi E of S Greenville',"32.940067, -96.727169",1960,,0,0,0,2,1,1.857142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.940067,-96.727169"
180570E02905011,'0.9 MI W of US 75',"32.940019, -96.760553",2019,7,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.940019,-96.760553"
180570E02905012,'0.6 MI W od US 75',"32.940064, -96.756503",2019,7,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.940064,-96.756503"
180570E02905017,'0.10 Mi W of Greenville A',"32.942842, -96.734639",2010,8,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.942842,-96.734639"
180570F01410001,'0.02 MI S  OF TURNER BLVD',"32.754328, -97.015636",2006,7,0,0,0,1,0.666666667,1,0,0.333333333,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.754328,-97.015636"
180570F01460001,'0.30 MI S  OF TARRANT RD',"32.753481, -97.022064",1968,,0,0,0,2,1,1.628571429,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.753481,-97.022064"
180570F01850001,'1.30 MI S  OF JEFFERSON',"32.726131, -97.007178",1946,6,0,0,0,2,1,2.257142857,0,0.333333333,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.726131,-97.007178"
180570F11050001,'0.2 MI W OF ROBINSON RD',"32.667017, -97.019711",2006,7,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.667017,-97.019711"
180570F11050002,'0.2 MI W OF ROBINSON RD',"32.667089, -97.020117",2006,7,0,0,0,1,0.666666667,1,1,0.666666667,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.667089,-97.020117"
180570F11050003,'0.05 Mi N of E Polo Rd',"32.658672, -96.99605",2003,,0,0,0,2,1,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.658672,-96.996050"
180570E02735003,'0.25 MI N OF BELT LINE RD',"32.94905, -96.691342",1970,,0,0,0,2,1,1.571428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.949050,-96.691342"
180570E00435001,'0.01 MI E PRAIRIE CRK RD',"32.975422, -96.724369",1980,,0,0,0,2,1,1.285714286,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.975422,-96.724369"
180570E00435002,'0.7 MI E OF COIT RD',"32.978219, -96.756483",1960,,0,0,0,2,1,1.857142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.978219,-96.756483"
180570E00435011,'0.05 MI W OF FLOYD RD',"32.978181, -96.745425",1970,,0,0,0,2,1,1.571428571,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.978181,-96.745425"
180570E00525002,'At Int Centennial/Abrams',"32.938583, -96.729914",1976,,0,0,0,2,1,1.4,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.938583,-96.729914"
180570E00525007,'0.2 Mi W of Greenville',"32.939339, -96.735592",1973,,0,0,0,2,1,1.485714286,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.939339,-96.735592"
180570E00690001,'0.85 MI E OF US 75',"32.968017, -96.70645",1979,,0,0,0,2,1,1.314285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968017,-96.706450"
180570E00795001,'AT WATERVIEW PARKWAY',"32.982836, -96.757103",1986,,0,0,0,2,1,1.114285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.982836,-96.757103"
180570E00810001,'0.65 Mi NE of Campbell Rd',"32.983181, -96.729908",1962,6,0,0,0,2,1,1.8,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.983181,-96.729908"
180570E00965002,'0.2 MI E OF WATERVIEW DR',"32.947492, -96.754464",1960,5,0,0,0,3,1.333333333,1.857142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.947492,-96.754464"
180570E00965003,'0.20 MI E of COIT RD',"32.946817, -96.764956",2014,7,0,0,0,1,0.666666667,1,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.946817,-96.764956"
180570E01150001,'0.20 Mi NE OF Collins Blv',"32.970325, -96.71075",1979,,0,0,0,2,1,1.314285714,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.970325,-96.710750"
180570E01180001,'0.10 Mi S of Arapaho Rd',"32.961675, -96.743467",1961,,0,0,0,2,1,1.828571429,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.961675,-96.743467"
180570E02120001,'0.04 Mi W of Waterview Dr',"32.959167, -96.756811",1960,,0,0,0,2,1,1.857142857,2,1,0,4840,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.959167,-96.756811"
