STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,FUNCTIONAL_CLASS_026,ADT_029,PERCENT_ADT_TRUCK_109,MIN_VERT_CLR_010,VC_ft,d_vc,N_detour,p_height,V_elem_height,Risk_Index,Risk_Level,Risk_Explanation,Street_View_URL
90980025102049,'0.8 MI S OF FM 221',31.5822638888889,-98.1571111111111,"31.582264, -98.157111",1942,2,3364,18.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.582264,-98.157111"
90980025102050,'5.2 MI N OF US 84',31.5564444444444,-98.1595138888889,"31.556444, -98.159514",1942,2,3618,18.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.556444,-98.159514"
90980025102051,'3.9 MI N OF US 84',31.5368111111111,-98.1547888888889,"31.536811, -98.154789",1942,2,3618,18.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.536811,-98.154789"
90980025102056,'1.8 MI N OF US 84',31.5061555555556,-98.1479833333333,"31.506156, -98.147983",1959,2,3918,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.506156,-98.147983"
90980025803007,'0.2 MI E OF SH 220',31.9814888888889,-98.026075,"31.981489, -98.026075",1934,2,5076,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.981489,-98.026075"
90980025803009,'1.4 MI E OF SH 220',31.9814444444444,-98.0060638888889,"31.981444, -98.006064",1935,2,5276,13.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.981444,-98.006064"
90980025803047,'0.6 MI N OF SH 6',31.9902,-98.0402944444444,"31.990200, -98.040294",1938,2,6963,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.990200,-98.040294"
90980046701001,'0.3 MI N OF SH 6',31.9866583333333,-98.0273611111111,"31.986658, -98.027361",1942,7,3710,11.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.986658,-98.027361"
90980025101054,'5.9 MI N OF SH 36',31.7887583333333,-98.121425,"31.788758, -98.121425",1958,2,4264,16.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.788758,-98.121425"
90180051903001,'0.5 MI S OF FM 927',32.0096055555556,-97.6129055555556,"32.009606, -97.612906",1948,6,1550,36.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.009606,-97.612906"
90180051903002,'2.4 MI SW OF FM 927',31.9921222222222,-97.6367583333333,"31.992122, -97.636758",1948,6,1550,36.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.992122,-97.636758"
90180051903009,'2.5 MI NE OF FM 927',32.0503111111111,-97.5903361111111,"32.050311, -97.590336",1952,6,1257,34.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.050311,-97.590336"
90180051903010,'3.4 MI NE OF FM 927',32.0618888888889,-97.5813583333333,"32.061889, -97.581358",1952,6,1257,34.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.061889,-97.581358"
90180051903011,'3.8 MI NE OF FM 927',32.06625,-97.5776,"32.066250, -97.577600",1952,6,1257,34.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.066250,-97.577600"
90180051903012,'0.4 MI NE OF FM 56',32.0833944444444,-97.5455388888889,"32.083394, -97.545539",1952,6,1448,36.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.083394,-97.545539"
90180051903013,'1.5 MI W OF FM 56',32.0926166666667,-97.52925,"32.092617, -97.529250",1952,6,1751,33.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.092617,-97.529250"
90180072402012,'5.5 MI E OF SH 6',31.8308,-97.5079388888889,"31.830800, -97.507939",1938,7,2572,7.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.830800,-97.507939"
90180072402014,'7.1 MI E OF SH 6',31.8438388888889,-97.4863,"31.843839, -97.486300",1949,7,2154,7.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.843839,-97.486300"
90180072402017,'1.0 MI E OF SH 6',31.7880694444445,-97.56215,"31.788069, -97.562150",1950,7,2523,7.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.788069,-97.562150"
90180072403021,'1.3 MI W OF SH 6',31.7211194444444,-97.5798166666667,"31.721119, -97.579817",1962,8,1633,11.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.721119,-97.579817"
90180072403026,'3.15 MI W OF SH 6',31.7000277777778,-97.5941888888889,"31.700028, -97.594189",2003,8,385,27.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.700028,-97.594189"
90740023202030,'7.50 MI W OF US 77',31.0747416666667,-97.1001527777778,"31.074742, -97.100153",1981,7,1350,7.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.074742,-97.100153"
90180077903001,'2.7 MI SE OF SH 144',32.054525,-97.7038777777778,"32.054525, -97.703878",1951,7,456,21.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.054525,-97.703878"
90180077903002,'4.8 MI SE OF SH 144',32.0381388888889,-97.6751833333333,"32.038139, -97.675183",1951,7,553,19.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.038139,-97.675183"
90180077903003,'6.0 MI SE OF SH 144',32.0278944444444,-97.6570833333333,"32.027894, -97.657083",1951,7,553,19.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.027894,-97.657083"
90180077903004,'0.3 MI NW OF SH 174',32.0158166666667,-97.6135083333333,"32.015817, -97.613508",1951,7,553,19.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.015817,-97.613508"
90180077904006,'3.4 MI E OF SH 174',32.0091722222222,-97.5575944444444,"32.009172, -97.557594",1997,7,358,22.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.009172,-97.557594"
90180077904007,'2.0 MI E OF SH 174',32.0088333333333,-97.5784833333333,"32.008833, -97.578483",1997,7,358,22.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.008833,-97.578483"
90180083302036,'0.5 MI SE OF SH 6',31.6580305555556,-97.4900388888889,"31.658031, -97.490039",1974,7,632,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.658031,-97.490039"
90180083302293,'0.56 MI NE of FM 215',31.6303361111111,-97.5922194444444,"31.630336, -97.592219",2023,9,471,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.630336,-97.592219"
90180083302294,'2.42 MI NE of FM 215',31.6446833333333,-97.5657111111111,"31.644683, -97.565711",2023,9,471,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.644683,-97.565711"
90180083302295,'2.8 MI E OF FM 217',31.6474388888889,-97.5600555555556,"31.647439, -97.560056",2023,9,684,13.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.647439,-97.560056"
90180083302296,'1.0 MI S OF FM 217',31.6624416666667,-97.5097138888889,"31.662442, -97.509714",2024,8,1000,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.662442,-97.509714"
90180083302297,'1.59 MI SE OF SH 6',31.6570888888889,-97.5038222222222,"31.657089, -97.503822",2023,9,825,12.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.657089,-97.503822"
90180083305029,'1.3 MI  E OF FM 56',31.6778194444444,-97.4485,"31.677819, -97.448500",1940,7,1024,7.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.677819,-97.448500"
90180072403027,'7.1 MI W OF SH 6',31.663375,-97.5903805555556,"31.663375, -97.590381",2011,8,448,15.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.663375,-97.590381"
90180038602008,'3.5 MI N OF JCT FM 203',32.1173722222222,-97.749375,"32.117372, -97.749375",1939,7,2248,9.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.117372,-97.749375"
90180038603009,'0.8 MI S OF JCT FM 203',32.0556638888889,-97.7496972222222,"32.055664, -97.749697",1955,7,2764,8.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.055664,-97.749697"
