STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,bridge_hurricane_category,damage_level,max_sustained_wind_kt_nearby,max_sustained_wind_mph_nearby,V_des_hurr,V_scour_hurr,V_age_hurr,Risk_hurricane,Risk_Level,Risk_Explanation,Street_View_URL
180610013510150,'3.55 MI E OF US 377',33.221358333333335,-96.94607222222224,"33.221358, -96.946072",2004,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.221358,-96.946072"
180610013510151,'5.80 MI E OF US 377',33.21973611111111,-96.90607777777778,"33.219736, -96.906078",2004,0,No Risk,25.0,28.7695,1.0,1.2,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.219736,-96.906078"
180610013510152,'6.05 MI E OF US 377',33.21961944444445,-96.90170833333336,"33.219619, -96.901708",2004,0,No Risk,25.0,28.7695,1.0,1.2,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.219619,-96.901708"
180610013510153,'6.70 MI E OF US 377',33.21933888888889,-96.89079444444444,"33.219339, -96.890794",2004,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.219339,-96.890794"
180610013409140,'1.25 Mi E of IH 35',33.229422222222226,-97.14882777777778,"33.229422, -97.148828",2015,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.229422,-97.148828"
180610013510123,'1.45 MI E OF LP 288',33.23625555555556,-97.06547222222224,"33.236256, -97.065472",1999,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.236256,-97.065472"
180610013510124,'2.10 MI E OF LP 288',33.23775555555556,-97.05313333333334,"33.237756, -97.053133",1999,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.237756,-97.053133"
180610013510125,'2.70 MI E OF LP 288',33.23823333333333,-97.04405833333333,"33.238233, -97.044058",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.238233,-97.044058"
180610013510126,'2.70 MI E OF LP 288',33.23833888888889,-97.04407222222224,"33.238339, -97.044072",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.238339,-97.044072"
180610013510127,'3.10 MI E OF LP 288',33.23798333333333,-97.0365,"33.237983, -97.036500",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.237983,-97.036500"
180610013510128,'3.10 MI E OF LP 288',33.238102777777776,-97.03667777777778,"33.238103, -97.036678",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.238103,-97.036678"
180610013510129,'4.00 MI E OF LP 288',33.23776388888889,-97.02969722222224,"33.237764, -97.029697",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.237764,-97.029697"
180610013409133,'2.5 MI W of IH 35',33.23159722222223,-97.21755555555556,"33.231597, -97.217556",2015,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.231597,-97.217556"
180610013409134,'0.95 Mi W of IH 35',33.23062777777778,-97.190875,"33.230628, -97.190875",2015,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.230628,-97.190875"
180610013409136,'1.4 Mi W of IH 35',33.23093888888889,-97.19893055555556,"33.230939, -97.198931",2015,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.230939,-97.198931"
180610013409137,'2.5 Mi W of IH 35',33.231794444444446,-97.21752777777778,"33.231794, -97.217528",2016,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.231794,-97.217528"
180610013510122,'0.70 MI E OF LP 288',33.23470833333334,-97.07768888888889,"33.234708, -97.077689",1999,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.234708,-97.077689"
180570V00107007,'2.1 MI S OF SANDY LN',32.94284444444444,-97.01063055555557,"32.942844, -97.010631",2020,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.942844,-97.010631"
180570V00163001,'0.5 MI NW OF HWY 121',32.985308333333336,-97.02750555555556,"32.985308, -97.027506",2002,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.985308,-97.027506"
180570V00197001,'0.6 MI S OF DEFOREST RD',32.97839166666667,-96.96414166666666,"32.978392, -96.964142",1985,0,No Risk,25.0,28.7695,1.0,0.4,1.1428571428571428,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.978392,-96.964142"
180570V00197002,'1.0 MI S OF DEFOREST RD',32.97405277777778,-96.96031111111112,"32.974053, -96.960311",1985,0,No Risk,25.0,28.7695,1.0,0.4,1.1428571428571428,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.974053,-96.960311"
180570V00197003,'1.6 M NW OF SANDY LAKE RD',32.98703055555556,-96.97355,"32.987031, -96.973550",1991,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.987031,-96.973550"
180570V00197004,'1.6 M NW OF SANDY LAKE RD',32.98701388888889,-96.97354722222222,"32.987014, -96.973547",1991,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.987014,-96.973547"
180570V00065002,'0.1 MI N OF BETHEL RD',32.95565833333334,-97.00673055555556,"32.955658, -97.006731",2016,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.955658,-97.006731"
180570V00065003,'0.1 MI N OF PARKWAY BLVD',32.98036666666667,-97.01123333333334,"32.980367, -97.011233",2002,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.980367,-97.011233"
180570V00065004,'1.2 MI E OF SH 121',32.97074166666667,-97.00807222222222,"32.970742, -97.008072",2014,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.970742,-97.008072"
180570V00070001,'0.5 MI W OF DENTON TAP RD',32.94823888888889,-97.00072777777778,"32.948239, -97.000728",2011,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.948239,-97.000728"
180610008113101,'0.50 MI S  OF FM 2449',33.16563333333333,-97.18482777777778,"33.165633, -97.184828",1969,0,No Risk,25.0,28.7695,1.0,0.4,1.6,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.165633,-97.184828"
180570V00100003,'0.7 MI N OF SANDY LAKE RD',32.97835555555556,-96.99358055555555,"32.978356, -96.993581",1955,0,No Risk,25.0,28.7695,1.0,0.4,2.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.978356,-96.993581"
180570V00100004,'0.1 MI N OF BETHEL ROAD',32.95581666666667,-96.99350833333334,"32.955817, -96.993508",1989,0,No Risk,25.0,28.7695,2.0,0.4,1.0285714285714285,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.955817,-96.993508"
180570V00100005,'0.1 MI N OF BETHEL ROAD',32.95582777777778,-96.99350833333334,"32.955828, -96.993508",1989,0,No Risk,25.0,28.7695,2.0,0.4,1.0285714285714285,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.955828,-96.993508"
180610008105183,'5.30 MI NE OF LP 288',33.30695,-97.04733333333331,"33.306950, -97.047333",1992,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.306950,-97.047333"
180610008105184,'5.65 MI NE OF LP 288',33.306752777777774,-97.04225833333334,"33.306753, -97.042258",1992,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.306753,-97.042258"
180610008105196,'7.50 MI NE OF LP 288',33.304538888888885,-97.01022222222224,"33.304539, -97.010222",1999,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.304539,-97.010222"
180610008106061,'0.60 MI S OF FM 428',33.290325,-96.98570833333332,"33.290325, -96.985708",1962,0,No Risk,25.0,28.7695,1.0,0.4,1.8,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.290325,-96.985708"
180610008106062,'2.40 MI S OF FM 428',33.26495277777778,-96.98715555555556,"33.264953, -96.987156",1962,0,No Risk,25.0,28.7695,1.0,1.2,1.8,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.264953,-96.987156"
180610008106068,'0.35 MI N OF FM 455',33.40004722222222,-96.9444888888889,"33.400047, -96.944489",1963,0,No Risk,25.0,28.7695,1.0,0.4,1.7714285714285714,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.400047,-96.944489"
180610008106224,'4.95 MI E OF LP 288',33.23187222222222,-97.00997222222222,"33.231872, -97.009972",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.231872,-97.009972"
180610008106225,'4.70 MI E OF LP 288',33.23170555555556,-97.00553055555557,"33.231706, -97.005531",1999,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.231706,-97.005531"
